PLOT,Accession,LOC,Year,REP,Block,Design,Trial,Settweight,NPH,Vigor,AUDPC_YMV,rAUDPC_YMV,AUDPC_YAD,rAUDPC_YAD,Yield per plot (kg),TTNPL,TTWPL,Yield_udj,YIELD,ATW,DMC,Oxint180Minutes,OXBI
2239,TDr1741060,Ibadan,2020,2,2,Partial replicated,TFE,,2,2,300,0.025,120,0.01,,,,,,,,,
2240,TDr1741100,Ibadan,2020,2,2,Partial replicated,TFE,,3,2,150,0.0125,195,0.01625,0.27,1.00,0.09,0.68,0.90,0.09,,,
2241,TDr1741086,Ibadan,2020,2,2,Partial replicated,TFE,,3,2,240,0.02,225,0.01875,0.66,1.00,0.22,1.10,2.20,0.22,,,
2242,TDr1741016,Ibadan,2020,2,2,Partial replicated,TFE,,2,2,225,0.01875,165,0.01375,0.15,1.00,0.08,0.50,0.75,0.08,,,
2243,TDr1741047,Ibadan,2020,2,2,Partial replicated,TFE,,,,,,,,,,,,,,,,
2244,TDr1741089,Ibadan,2020,2,2,Partial replicated,TFE,,2,1,105,0.00875,105,0.00875,0.04,1.00,0.02,0.13,0.20,0.02,,,
1001,TDr1738096,Ikenne,2020,1,1,Partial replicated,TFE,,13,2,195,0.01625,165,0.01375,3.32,1.08,0.26,2.08,2.55,0.24,,1,
1002,TDr1738094,Ikenne,2020,1,1,Partial replicated,TFE,,8,2,255,0.02125,165,0.01375,2.135,1.38,0.27,2.37,2.67,0.19,,0,
1003,TDr1738053,Ikenne,2020,1,1,Partial replicated,TFE,,16,,210,0.0175,165,0.01375,3.255,1.31,0.20,1.71,2.03,0.16,,1,
1004,TDr1738093,Ikenne,2020,1,1,Partial replicated,TFE,,8,2,255,0.02125,165,0.01375,2.53,1.25,0.32,2.81,3.16,0.25,,0,
1005,TDr1738046,Ikenne,2020,1,1,Partial replicated,TFE,,5,2,225,0.01875,150,0.0125,1.03,1.00,0.21,1.47,2.06,0.21,,0,
1006,TDr1738082,Ikenne,2020,1,1,Partial replicated,TFE,,9,3,255,0.02125,150,0.0125,4.665,1.22,0.52,4.24,5.18,0.42,,0,
1007,TDr1738013,Ikenne,2020,1,1,Partial replicated,TFE,,6,2,225,0.01875,180,0.015,2.365,1.17,0.39,2.37,3.94,0.34,,1,
